rank,name,name_ascii,institution,country,arxiv_rank,openalex_rank,zbmath_rank,arxiv_papers,openalex_works,openalex_citations,zbmath_papers,overall_h_index,h_index_source,first_active_year,last_active_year,birth_year,doctoral_advisor,orcid,wikidata_id
69,"Rivat, Joël","Rivat, Joel",Aix-Marseille Université,FR,,,38,,,,,,,1995,2025,,,,
70,A. Perelli,A. Perelli,University of Genoa,IT,52,,36,3,,,,,,2008,2008,,,,
71,Lior Bary-Soroker,Lior Bary-Soroker,Tel Aviv University,IL,30,73,,4,3,2,,10,openalex,2013,2018,,,,
72,"Brüdern, Jörg","Brudern, Jorg",University of Göttingen,DE,,,40,,,,,,,1991,2024,,,,
73,Xuancheng Shao,Xuancheng Shao,University of Kentucky,US,42,,,3,,,,10,openalex,2021,2021,,,,
74,J. P. Keating,J. P. Keating,University of Oxford,GB,36,,,4,,,,40,openalex,2004,2004,,,,
75,Jori Merikoski,Jori Merikoski,University of Oxford,GB,33,,94,4,,,,2,openalex,2020,2024,,,,
76,Bingrong Huang,Bingrong Huang,State Key Laboratory of Cryptology,CN,37,,,5,,,,7,openalex,2014,2023,,,,
77,Tristan Freiberg,Tristan Freiberg,University of Waterloo,CA,26,,123,5,1,0,,4,openalex,2011,2011,,,,
78,Johan Andersson,Johan Andersson,,,38,,,4,,,,,,2006,2024,,,,
79,William Banks,William Banks,University of Missouri,US,39,,68,4,,,,,,2024,2024,,,,
80,Loïc Grenié,Loic Grenie,University of Bergamo,IT,45,,,3,,,,,,2025,2025,,,,
81,"Sárközy, A.","Sarkozy, A.",Eötvös Loránd University,HU,,,43,,,,,,,1988,2023,,,,
82,"Kaczorowski, J.","Kaczorowski, J.",Adam Mickiewicz University in Poznań,PL,,,44,,,,,,,2008,2016,,,,
83,Giuseppe Molteni,Giuseppe Molteni,University of Milan,IT,46,,,3,,,,10,openalex,2008,2025,,,,
84,Angel V. Kumchev,Angel V. Kumchev,Towson University,US,44,,50,3,1,0,,,,2023,2023,,,,
85,Cem Yalcin Yildirim,Cem Yalcin Yildirim,Boğaziçi University,TR,56,,42,5,,,,,,2004,2007,,,,
86,Alexandru Zaharescu,Alexandru Zaharescu,University of Illinois Urbana-Champaign,US,35,,111,6,,,,24,openalex,2012,2012,,,,
87,"Stewart, C. L.","Stewart, C. L.",University of Waterloo,CA,,,46,,,,,,,1991,2001,,,,
88,"Maier, Helmut","Maier, Helmut",Universität Ulm,DE,,,47,1,1,0,,,,2006,2006,,,,
89,Hongmei Li,Hongmei Li,Sichuan University,CN,,168,41,1,2,7,,,,2014,2014,,,,
90,"Hildebrand, Adolf","Hildebrand, Adolf",University of Illinois Urbana-Champaign,US,,,48,,,,,,,,,,,,
91,"Montgomery, Hugh L.","Montgomery, Hugh L.",University of Michigan,US,,,51,1,,,,,,1971,2026,,,,
92,"Hassani, Mehdi","Hassani, Mehdi",University of Zanjan,IR,,,49,,,,,,,1999,2026,,,,
93,Yu-Chen Sun,Yu-Chen Sun,East China Jiaotong University,CN,47,60,,3,3,13,,,,2018,2026,,,,
94,Maurizio Laporta,Maurizio Laporta,University of Naples Federico II,IT,49,,,4,1,0,,5,openalex,1999,1999,,,,
95,Lola Thompson,Lola Thompson,,,50,,,3,,,,,,2012,2017,,,,
96,Habiba Kadiri,Habiba Kadiri,,,51,,,5,,,,,,2004,2025,,,,
97,"Kowalski, Emmanuel","Kowalski, Emmanuel",CCI Reprographics (United States),US,,,53,1,,,,,,2000,2012,,,,
98,Vivian Kuperberg,Vivian Kuperberg,Université de Montréal,CA,40,,132,4,,,,3,openalex,2020,2025,,,,
99,"De Koninck, Jean-Marie","De Koninck, Jean-Marie",,,,,55,,,,,,,,,,,,
100,Edva Roditty-Gershon,Edva Roditty-Gershon,University of Bristol,GB,54,,,3,2,0,,,,2016,2017,,,,
